min_score,topk,sell_n,trailing_stop,take_profit,cooldown_after_stop,initial_cash,final_value,total_return,annual_return,sharpe_ratio,max_drawdown,num_trades,win_rate,num_sells,sell_avg_return,sell_median_return
0.7,3,2,0.04,0.0,5,10000000.0,9274399.583832476,-0.07256004161675234,-0.07666044896784396,-0.24862971169150844,-0.16659934702921686,152,0.39473684210526316,76,-0.0018665584961349963,-0.01160138685268225
0.7,3,2,0.03,0.0,5,10000000.0,9188038.54818502,-0.08119614518149798,-0.08576162999853021,-0.2944575089776071,-0.16239899067211883,150,0.41333333333333333,75,-0.002308906812401168,-0.010500620424945928
0.7,2,5,0.03,0.0,5,10000000.0,8567938.510943174,-0.14320614890568262,-0.15096050964576713,-0.2998666919760746,-0.25822321817623706,124,0.3225806451612903,62,-0.0028504435345210904,-0.022858959353822483
0.62,3,3,0.03,0.08,5,10000000.0,6786890.766369882,-0.3213109233630118,-0.3366096569633077,-0.30044353801267765,-0.5997930753384711,1045,0.43186180422264875,521,-0.0010515554257651653,-0.012441348938965202
0.58,1,5,0.04,0.0,5,10000000.0,4872315.554460202,-0.5127684445539797,-0.5329462084021622,-0.30801865541691803,-0.5608422918891494,251,0.32,125,-0.0017391717869950165,-0.0301821807305358
0.6,1,5,0.04,0.0,5,10000000.0,4872315.554460202,-0.5127684445539797,-0.5329462084021622,-0.30801865541691803,-0.5608422918891494,251,0.32,125,-0.0017391717869950165,-0.0301821807305358
0.62,1,5,0.04,0.0,5,10000000.0,4872315.554460202,-0.5127684445539797,-0.5329462084021622,-0.30801865541691803,-0.5608422918891494,251,0.32,125,-0.0017391717869950165,-0.0301821807305358
0.65,3,3,0.04,0.0,5,10000000.0,6511772.022474415,-0.34882279775255853,-0.3650488470203941,-0.3164654193146834,-0.5688322446971859,807,0.38308457711442784,402,-0.001861113032176735,-0.02347737729124133
0.58,3,3,0.03,0.08,5,10000000.0,6702269.880253882,-0.32977301197461184,-0.34536432171813647,-0.32134385704090745,-0.5997930753384711,1047,0.43103448275862066,522,-0.0011221973719091163,-0.012463849705678764
0.6,3,3,0.03,0.08,5,10000000.0,6702269.880253882,-0.32977301197461184,-0.34536432171813647,-0.32134385704090745,-0.5997930753384711,1047,0.43103448275862066,522,-0.0011221973719091163,-0.012463849705678764
0.65,1,5,0.04,0.0,5,10000000.0,4693985.480282532,-0.5306014519717468,-0.5510265416574098,-0.3476299423320507,-0.5608422918891494,251,0.32,125,-0.0020315063527315278,-0.03205834391868123
0.65,2,5,0.03,0.0,5,10000000.0,5825788.992889117,-0.4174211007110883,-0.43564537448153784,-0.3586068112744409,-0.6727439407317157,592,0.34576271186440677,295,-0.0023587926048824898,-0.02308751237887674
0.7,3,2,0.03,0.08,5,10000000.0,9114895.342262058,-0.08851046577379429,-0.09346591357159406,-0.37354530501990435,-0.16125688926572557,158,0.4430379746835443,79,-0.0026697260537652985,-0.009750409787586345
0.62,3,3,0.04,0.0,5,10000000.0,6176533.459009157,-0.3823466540990843,-0.39960693263099134,-0.3817554171185992,-0.5994143216484865,829,0.38498789346246975,413,-0.002152624899662387,-0.022602021823535323
0.65,2,3,0.03,0.0,5,10000000.0,5554042.43849206,-0.44459575615079405,-0.4634796425244915,-0.39812329436690624,-0.6708447931760138,622,0.35161290322580646,310,-0.00255789883187133,-0.02215986934772951
0.58,3,3,0.04,0.0,5,10000000.0,6095550.015835435,-0.3904449984164565,-0.4079388026937443,-0.4017753568465297,-0.5994143216484865,831,0.38405797101449274,414,-0.0022390355914818196,-0.02284476710120603
0.6,3,3,0.04,0.0,5,10000000.0,6095550.015835435,-0.3904449984164565,-0.4079388026937443,-0.4017753568465297,-0.5994143216484865,831,0.38405797101449274,414,-0.0022390355914818196,-0.02284476710120603
0.65,2,2,0.04,0.0,5,10000000.0,5466207.546993327,-0.4533792453006673,-0.4724593998726784,-0.40246075891462757,-0.7211714819282591,628,0.38977635782747605,313,-0.0027696825687124416,-0.019196281125663184
